State,District,Year,Crime_Category,Crime_Category_Code,Total_Cases
Karnataka,Davanagere,2021,IPC_BNS_Crimes,IPC,2849
Karnataka,Dharwad,2021,IPC_BNS_Crimes,IPC,2938
Karnataka,Gadag,2021,IPC_BNS_Crimes,IPC,901
Karnataka,Hassan,2021,IPC_BNS_Crimes,IPC,4830
Karnataka,Haveri,2021,IPC_BNS_Crimes,IPC,2187
Karnataka,Kalaburagi,2021,IPC_BNS_Crimes,IPC,4388
Karnataka,Kodagu,2021,IPC_BNS_Crimes,IPC,1347
Karnataka,Kolar,2021,IPC_BNS_Crimes,IPC,2558
Karnataka,Koppal,2021,IPC_BNS_Crimes,IPC,1759
Karnataka,Mandya,2021,IPC_BNS_Crimes,IPC,4865
Karnataka,Mysuru,2021,IPC_BNS_Crimes,IPC,6471
Karnataka,Raichur,2021,IPC_BNS_Crimes,IPC,2598
Karnataka,Ramanagara,2021,IPC_BNS_Crimes,IPC,3243
Karnataka,Shivamogga,2021,IPC_BNS_Crimes,IPC,4068
Karnataka,Tumakuru,2021,IPC_BNS_Crimes,IPC,4813
Karnataka,Udupi,2021,IPC_BNS_Crimes,IPC,2284
Karnataka,Uttara Kannada,2021,IPC_BNS_Crimes,IPC,2078
Karnataka,Vijayapura,2021,IPC_BNS_Crimes,IPC,2987
Karnataka,Yadgir,2021,IPC_BNS_Crimes,IPC,1412
Karnataka,Bagalkot,2022,IPC_BNS_Crimes,IPC,2199
Karnataka,Ballari,2022,IPC_BNS_Crimes,IPC,1792
Karnataka,Belagavi,2022,IPC_BNS_Crimes,IPC,6424
Karnataka,Bengaluru Rural,2022,IPC_BNS_Crimes,IPC,6031
Karnataka,Bengaluru Urban,2022,IPC_BNS_Crimes,IPC,28666
Karnataka,Bidar,2022,IPC_BNS_Crimes,IPC,3136
Karnataka,Chamarajanagara,2022,IPC_BNS_Crimes,IPC,1705
Karnataka,Chikkaballapura,2022,IPC_BNS_Crimes,IPC,2577
Karnataka,Chikkamagaluru,2022,IPC_BNS_Crimes,IPC,2759
Karnataka,Chitradurga,2022,IPC_BNS_Crimes,IPC,4057
Karnataka,Dakshina Kannada,2022,IPC_BNS_Crimes,IPC,3791
Karnataka,Davanagere,2022,IPC_BNS_Crimes,IPC,3396
Karnataka,Dharwad,2022,IPC_BNS_Crimes,IPC,3199
Karnataka,Gadag,2022,IPC_BNS_Crimes,IPC,1060
Karnataka,Hassan,2022,IPC_BNS_Crimes,IPC,4652
Karnataka,Haveri,2022,IPC_BNS_Crimes,IPC,2409
Karnataka,Kalaburagi,2022,IPC_BNS_Crimes,IPC,4230
Karnataka,Kodagu,2022,IPC_BNS_Crimes,IPC,1355
Karnataka,Kolar,2022,IPC_BNS_Crimes,IPC,3272
Karnataka,Koppal,2022,IPC_BNS_Crimes,IPC,2175
Karnataka,Mandya,2022,IPC_BNS_Crimes,IPC,4830
Karnataka,Mysuru,2022,IPC_BNS_Crimes,IPC,6973
Karnataka,Raichur,2022,IPC_BNS_Crimes,IPC,2577
